,0,1,2,3,4,5,,Ps,Ps(1-mu)/(1-muPs),,(SPsMu-SI)/SI,SPs(1-Mu)-SA)/SA,,SA|SI -SA)/SA
135,368611.2811,20398.58762,8742.251837,858.9940395,368.1403026,1408.594273,,,,,,,,
136,367384.1468,19848.98739,8506.70888,833.0465838,357.0199645,1370.546319,,,,,,,,
137,366194.0802,19311.48765,8276.351851,807.8433396,346.2185741,1333.341988,,,,,,,,
138,365040.0183,18785.989,8051.138144,783.3659372,335.7282588,1296.973931,,,,,,,,
139,363920.9241,18272.38101,7831.020432,759.5962265,325.5412399,1261.434057,,,,,,,,
140,362835.7866,17770.54318,7615.947077,736.5162914,315.6498392,1226.713608,,,,,,,,
141,361783.6205,17280.34586,7405.862512,714.1084694,306.0464869,1192.803214,,,,,,,,
142,360763.4656,16801.65112,7200.707622,692.3553675,296.7237289,1159.69295,,,,,,,,
143,359774.3865,16334.31354,7000.420087,671.2398686,287.6742294,1127.372401,,,,,,,,
144,358815.4724,15878.181,6804.934716,650.745147,278.8907773,1095.830707,,,,,,,,
145,357885.8364,15433.09544,6614.183761,630.8546777,270.3662904,1065.056611,,,,,,,,
146,356984.6155,14998.89351,6428.097218,611.5522382,262.0938164,1035.038516,,,,,,,,
147,356110.9694,14575.40723,6246.6031,592.8219194,254.0665369,1005.764519,,,,,,,,
148,355264.081,14162.46463,6069.6277,574.6481298,246.2777699,977.2224585,,,,,,,,
149,354443.1551,13759.8903,5897.095845,557.0155948,238.7209692,949.3999519,,,,,,,,
150,353647.4185,13367.50595,5728.93112,,,,,,,,,,,
